tweet_id,customer_text,reply_text,auto_intent,your_intent,expected_action
874853,2/2 will be delivered by tomorrow which is interesting as online says they already have been! Either way - not meeting Prime timescales.,"In some cases, parcels arrive after they are marked as delivered. Please let us know if it doesn't arrive by 21:00 tomorrow. ^FJ",account_issue,account_issue,auto_handle
674283,"when we purchase a smartphone online, on whose name the imei no. gets registered? Same as the amazon account or the SIM card we first insert?",The IMEi no. is assigned to the device only. It cannot be registered to an Amazon account or the SIM card. ^PS,account_issue,account_issue,auto_handle
1642157,comment je fais si je reçois pas le bon cable d'ali (pb récurrent) pour mon écran DELL svp (i'm prime),"Si vous ne recevez pas le bon câble ,veuillez le signaler à notre service client afin de vous proposer la solution adéquate. ^BR",account_issue,account_issue,auto_handle
2337933,I converted to a business account. How do I make personal purchases from the account now? Help pages don't say anything,Call us here: &amp; we'll be glad to assist you. ^MJ,account_issue,account_issue,auto_handle
2485596,I have the accounts. One prime and one non prime. There must be a way to move the books on the non prime account. So I can close the non prime account. Help?,I'm sorry for the inconvenience this has caused you. Please contact us here: so we can look into this further. ^CO,account_issue,account_issue,auto_handle
1102333,Wrst service I m gtng despite being a prime cstmer.Been contctng u snce mnths bt stll nt gtng ny rply.I m nt able to access my accnt,Sorry to know about the trouble you're facing with your account. Could you let us know if your account is on hold? ^AK,account_issue,account_issue,auto_handle
99993,my Prime account isn’t global ? ):,Prime is limited to the region you are in. If you purchased on you are limited to the US. If you are traveling abroad you can use video benefits: ^AF,account_issue,account_issue,auto_handle
944842,when is it launching for prime members in India!!!!!???? #cannotwait,"For other details, refer: ^SS (2/2).",account_issue,account_issue,auto_handle
458925,this is not why I pay for Amazon Prime 🙄,Oh no! Did you receive an email regarding the delay? ^BA,account_issue,account_issue,auto_handle
590038,So this means I have to actually go pick up my items 2-3 days AFTER they’re supposed to be delivered? I pay for prime so they can be delivered to my home. Why are they going to the post office for me to pick up?,I'm very sorry for this issue with your order's delivery. Was this order initially being delivered by USPS? Please check using the following page: ^DO,account_issue,account_issue,auto_handle
